transaction_id,customer_id,age,income,employment_status,credit_score,avg_monthly_spend,active_loans,payment_delay_days,last_payment_amount,transaction_amount,transaction_type,account_balance,fraud_flag,currency,payment_method,timestamp
325880cc-8d0a-499b-9d1e-7a81832bb241,3581d672-6638-4599-9f66-8a04b6adcec8,19,13793.87,employed,633,2785.73,1,24,4160.33,868.52,withdrawal,26747.38,0,USD,debit_card,1765071683590
35536d8f-1ae0-4004-9b87-107e495aaaf4,2932bf47-5424-4c1b-baee-88682c0235a4,30,11448.61,retired,806,919.38,1,53,4139.23,9260.16,refund,40949.81,1,EUR,debit_card,1765071683590
868c2b6b-ad4d-44fe-bf1f-2ca8d539e8ad,ba3938fb-3294-47fb-b68d-d1fb62845f89,42,17090.34,unemployed,668,1134.79,1,60,384.4,8298.9,refund,10052.59,0,GBP,credit_card,1765071683590
0d548eed-5037-4eee-87c7-ff18a34ad4a4,7a104dbf-1b11-4104-8f2d-091a8856969b,47,12505.77,retired,580,569.33,4,22,4497.94,3574.37,deposit,2110.5,0,USD,credit_card,1765071683590
d524106b-d1d3-4097-bd4d-d241069bd2e7,9c78aef1-938c-4d8e-a57d-3d3e31ce2849,58,15531.15,retired,388,3574.84,3,13,350.05,8700.41,refund,17188.09,1,GBP,debit_card,1765071683590
01d3f2f8-9823-497d-8b2a-9c9e96af7648,0e756223-6e92-4e6c-8341-2b9c57fb8fb3,50,8317.39,retired,665,2875.64,0,49,1502.13,6685.17,withdrawal,4262.27,1,EUR,credit_card,1765071683590
bbc6d6ed-6fca-4d39-ab5f-a4ddb8cb8f17,0692af7f-555c-4446-a832-6c78912a2da2,41,8159.87,unemployed,329,1173.6,3,18,2837.23,2328.94,deposit,42131.56,0,GBP,paypal,1765071683590
8bae0044-f3e0-4427-a82f-c0015b64f598,3c9ffc17-02e3-4b07-bf16-1ea942738cca,65,13556.74,retired,744,2264.34,3,45,1769.77,4757.67,purchase,29107.79,1,SAR,bank_transfer,1765071683590
620a4dfe-005c-44aa-9a4f-8e0bd161b01c,c3d905b1-6889-49dd-a340-1d8ff6ac6728,26,8268.99,unemployed,384,1103.99,2,29,4375.92,7315.29,purchase,43982.32,0,SAR,bank_transfer,1765071683590
02396577-dade-4d61-a56a-5728d6d9ffe6,a641689f-9ef1-4e41-a535-51ab795a3afe,24,8619.73,unemployed,586,4277.34,3,5,3954.04,8770.07,withdrawal,23075.13,0,USD,credit_card,1765071683591
0c15e88c-3179-48c2-b8c2-a5d884780c13,9c5c18a9-e985-474d-bc8a-24f3114f4d68,53,2878.82,self-employed,634,1601.35,4,48,368.16,6476.38,refund,16752.51,0,SAR,bank_transfer,1765071683591
4b66deff-6155-4772-8617-ee2925f31136,f4a5b88e-0574-47e5-91cf-608a8f0db01b,38,16202.26,employed,480,4768.36,3,3,518.29,9072.71,purchase,20894.97,0,USD,bank_transfer,1765071683591
9ce2f446-5b8c-4ef4-9f35-502f9cdd9b41,fe3fc29b-97db-4cdd-8697-d95a11f23268,39,16197.4,self-employed,581,1177.81,0,32,2888.11,7544.61,deposit,29303.69,0,USD,credit_card,1765071683591
0304f8e6-2673-437f-be6f-8e6bf856c6d8,80efb8f5-1b01-4d3f-b260-ef9f14cc32e6,62,3897.24,employed,375,1328.93,3,35,1410.77,4285.22,withdrawal,33252.47,0,SAR,credit_card,1765071683591
ddcb64f3-5add-4238-b48a-6011b4eb273b,0eef6d71-6b31-4828-8261-9f16ee8bdf8a,60,2063.92,retired,391,147.27,0,46,2791.24,1613.67,purchase,49067.17,1,EUR,debit_card,1765071683591
7dff72f0-cfef-44a5-ad6c-a204ba986266,b4ee6a3d-7b5b-4928-8458-cf9796d4dc91,60,6397.46,unemployed,375,2248.53,1,59,3183.23,2364.02,deposit,22828.74,0,SAR,bank_transfer,1765071683591
a5bd1244-9bfa-412c-8bf3-6d2581d5b40a,c5a95c86-b0e1-4158-be36-06cbf3d9c458,58,12144.33,retired,486,839.86,5,10,1954.2,3314.58,purchase,33717.15,1,EUR,credit_card,1765071683591
